CSV_VERSION=1.4
#Comment:-do not change matrix position or remove CSV_VERSION:
ID  ,PRODID              ,PARTNAME                   ,BOARDNAME                                   ,SHORTNAME    ,ZYNQFLASHTYP            ,FPGAFLASHTYP                      ,PCB_REV     ,DDR_SIZE ,FLASH_SIZE ,EMMC_SIZE  ,OTHERS                                ,NOTES                                               ,DESIGN       ,CONFIG_SW_EXTPLL       
#1  ,TE0808-ES1          ,xczu9eg-ffvc900-1-i-es1    ,trenz.biz:te0808_es1:part0:1.0              ,es1_2gb      ,qspi-x8-dual_parallel   ,mt25qu256-qspi-x8-dual_parallel   ,REV03|REV02 ,2GB      ,64MB       ,NA         ,NA                                    ,"Not longer supported by vivado"                    ,NLSBV        ,NA
#2  ,TE0808-ES1          ,xczu9eg-ffvc900-1-i-es1    ,trenz.biz:te0808_es1_tebf0808:part0:2.0     ,es1_2gb      ,qspi-x8-dual_parallel   ,mt25qu256-qspi-x8-dual_parallel   ,REV03|REV02 ,2GB      ,64MB       ,NA         ,NA                                    ,"Not longer supported by vivado"                    ,NLSBV        ,NA
#3  ,TE0808-ES2          ,xczu9eg-ffvc900-1-i-es2    ,trenz.biz:te0808_es2:part0:1.0              ,es2_2gb      ,qspi-x8-dual_parallel   ,mt25qu256-qspi-x8-dual_parallel   ,REV04|REV03 ,2GB      ,64MB       ,NA         ,NA                                    ,"Not longer supported by vivado"                    ,NLSBV        ,NA
#4  ,TE0808-ES2          ,xczu9eg-ffvc900-1-i-es2    ,trenz.biz:te0808_es2_tebf0808:part0:2.0     ,es2_2gb      ,qspi-x8-dual_parallel   ,mt25qu256-qspi-x8-dual_parallel   ,REV04|REV03 ,2GB      ,64MB       ,NA         ,NA                                    ,"Not longer supported by vivado"                    ,NLSBV        ,NA
#5  ,TE0808-2ES2         ,xczu9eg-ffvc900-2-i-es2    ,trenz.biz:te0808_2es2:part0:1.0             ,2es2_2gb     ,qspi-x8-dual_parallel   ,mt25qu256-qspi-x8-dual_parallel   ,REV04|REV03 ,2GB      ,64MB       ,NA         ,NA                                    ,"Not longer supported by vivado"                    ,NLSBV        ,NA
#6  ,TE0808-2ES2         ,xczu9eg-ffvc900-2-i-es2    ,trenz.biz:te0808_2es2_tebf0808:part0:2.0    ,2es2_2gb     ,qspi-x8-dual_parallel   ,mt25qu256-qspi-x8-dual_parallel   ,REV04|REV03 ,2GB      ,64MB       ,NA         ,NA                                    ,"Not longer supported by vivado"                    ,NLSBV        ,NA
7   ,TE0808-04-09EG-1EA  ,xczu9eg-ffvc900-1-e        ,trenz.biz:te0808_9eg_1e:part0:1.0           ,9eg_1e_2gb   ,qspi-x8-dual_parallel   ,mt25qu256-qspi-x8-dual_parallel   ,REV04       ,2GB      ,64MB       ,NA         ,NA                                    ,NA                                                  ,TE0808_TB    ,NA
8   ,TE0808-04-09EG-1EA  ,xczu9eg-ffvc900-1-e        ,trenz.biz:te0808_9eg_1e_tebf0808:part0:2.0  ,9eg_1e_2gb   ,qspi-x8-dual_parallel   ,mt25qu256-qspi-x8-dual_parallel   ,REV04       ,2GB      ,64MB       ,NA         ,NA                                    ,NA                                                  ,TE0808_SK    ,./misc/PLL/SI5345_B/te_Si5345-Registers.h
9   ,TE0808-04-09EG-1EB  ,xczu9eg-ffvc900-1-e        ,trenz.biz:te0808_9eg_1e:part0:3.0           ,9eg_1e_4gb   ,qspi-x8-dual_parallel   ,mt25qu256-qspi-x8-dual_parallel   ,REV04       ,4GB      ,64MB       ,NA         ,NA                                    ,NA                                                  ,TE0808_TB    ,NA
10  ,TE0808-04-09EG-1EB  ,xczu9eg-ffvc900-1-e        ,trenz.biz:te0808_9eg_1e_tebf0808:part0:4.0  ,9eg_1e_4gb   ,qspi-x8-dual_parallel   ,mt25qu256-qspi-x8-dual_parallel   ,REV04       ,4GB      ,64MB       ,NA         ,NA                                    ,NA                                                  ,TE0808_SK    ,./misc/PLL/SI5345_B/te_Si5345-Registers.h
11  ,TE0808-04-09EG-1ED  ,xczu9eg-ffvc900-1-e        ,trenz.biz:te0808_9eg_1e:part0:3.0           ,9eg_1e_4gb   ,qspi-x8-dual_parallel   ,mt25qu256-qspi-x8-dual_parallel   ,REV04       ,4GB      ,64MB       ,NA         ,"1 mm connectors"                     ,NA                                                  ,TE0808_TB    ,NA
12  ,TE0808-04-09EG-1ED  ,xczu9eg-ffvc900-1-e        ,trenz.biz:te0808_9eg_1e_tebf0808:part0:4.0  ,9eg_1e_4gb   ,qspi-x8-dual_parallel   ,mt25qu256-qspi-x8-dual_parallel   ,REV04       ,4GB      ,64MB       ,NA         ,"1 mm connectors"                     ,NA                                                  ,TE0808_SK    ,./misc/PLL/SI5345_B/te_Si5345-Registers.h
13  ,TE0808-04-09EG-2IB  ,xczu9eg-ffvc900-2-i        ,trenz.biz:te0808_9eg_2i:part0:3.0           ,9eg_2i_4gb   ,qspi-x8-dual_parallel   ,mt25qu256-qspi-x8-dual_parallel   ,REV04       ,4GB      ,64MB       ,NA         ,NA                                    ,NA                                                  ,TE0808_TB    ,NA
14  ,TE0808-04-09EG-2IB  ,xczu9eg-ffvc900-2-i        ,trenz.biz:te0808_9eg_2i_tebf0808:part0:4.0  ,9eg_2i_4gb   ,qspi-x8-dual_parallel   ,mt25qu256-qspi-x8-dual_parallel   ,REV04       ,4GB      ,64MB       ,NA         ,NA                                    ,NA                                                  ,TE0808_SK    ,./misc/PLL/SI5345_B/te_Si5345-Registers.h
15  ,TE0808-04-15EG-1EB  ,xczu15eg-ffvc900-1-e       ,trenz.biz:te0808_15eg_1e:part0:3.0          ,15eg_1e_4gb  ,qspi-x8-dual_parallel   ,mt25qu256-qspi-x8-dual_parallel   ,REV04       ,4GB      ,64MB       ,NA         ,NA                                    ,NA                                                  ,TE0808_TB    ,NA
16  ,TE0808-04-15EG-1EB  ,xczu15eg-ffvc900-1-e       ,trenz.biz:te0808_15eg_1e_tebf0808:part0:4.0 ,15eg_1e_4gb  ,qspi-x8-dual_parallel   ,mt25qu256-qspi-x8-dual_parallel   ,REV04       ,4GB      ,64MB       ,NA         ,NA                                    ,NA                                                  ,TE0808_SK    ,./misc/PLL/SI5345_B/te_Si5345-Registers.h
17  ,TE0808-04-09EG-1EE  ,xczu9eg-ffvc900-1-e        ,trenz.biz:te0808_9eg_1e:part0:3.0           ,9eg_1e_4gb   ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,NA                                    ,NA                                                  ,TE0808_TB    ,NA
18  ,TE0808-04-09EG-1EE  ,xczu9eg-ffvc900-1-e        ,trenz.biz:te0808_9eg_1e_tebf0808:part0:4.0  ,9eg_1e_4gb   ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,NA                                    ,NA                                                  ,TE0808_SK    ,./misc/PLL/SI5345_B/te_Si5345-Registers.h
19  ,TE0808-04-09EG-1EL  ,xczu9eg-ffvc900-1-e        ,trenz.biz:te0808_9eg_1e:part0:3.0           ,9eg_1e_4gb   ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,"1 mm connectors"                     ,NA                                                  ,TE0808_TB    ,NA
20  ,TE0808-04-09EG-1EL  ,xczu9eg-ffvc900-1-e        ,trenz.biz:te0808_9eg_1e_tebf0808:part0:4.0  ,9eg_1e_4gb   ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,"1 mm connectors"                     ,NA                                                  ,TE0808_SK    ,./misc/PLL/SI5345_B/te_Si5345-Registers.h
21  ,TE0808-04-09EG-2IE  ,xczu9eg-ffvc900-2-i        ,trenz.biz:te0808_9eg_2i:part0:3.0           ,9eg_2i_4gb   ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,NA                                    ,NA                                                  ,TE0808_TB    ,NA
22  ,TE0808-04-09EG-2IE  ,xczu9eg-ffvc900-2-i        ,trenz.biz:te0808_9eg_2i_tebf0808:part0:4.0  ,9eg_2i_4gb   ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,NA                                    ,NA                                                  ,TE0808_SK    ,./misc/PLL/SI5345_B/te_Si5345-Registers.h
23  ,TE0808-04-15EG-1EE  ,xczu15eg-ffvc900-1-e       ,trenz.biz:te0808_15eg_1e:part0:3.0          ,15eg_1e_4gb  ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,NA                                    ,NA                                                  ,TE0808_TB    ,NA
24  ,TE0808-04-15EG-1EE  ,xczu15eg-ffvc900-1-e       ,trenz.biz:te0808_15eg_1e_tebf0808:part0:4.0 ,15eg_1e_4gb  ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,NA                                    ,NA                                                  ,TE0808_SK    ,./misc/PLL/SI5345_B/te_Si5345-Registers.h
25  ,TE0808-04-06EG-1EE  ,xczu6eg-ffvc900-1-e        ,trenz.biz:te0808_6eg_1e:part0:3.0           ,6eg_1e_4gb   ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,NA                                    ,NA                                                  ,TE0808_TB    ,NA
26  ,TE0808-04-06EG-1EE  ,xczu6eg-ffvc900-1-e        ,trenz.biz:te0808_6eg_1e_tebf0808:part0:4.0  ,6eg_1e_4gb   ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,NA                                    ,NA                                                  ,TE0808_SK    ,./misc/PLL/SI5345_B/te_Si5345-Registers.h
27  ,TE0808-04-06EG-1E3  ,xczu6eg-ffvc900-1-e        ,trenz.biz:te0808_6eg_1e:part0:3.0           ,6eg_1e_4gb   ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,"1 mm connectors"                     ,NA                                                  ,TE0808_TB    ,NA
28  ,TE0808-04-06EG-1E3  ,xczu6eg-ffvc900-1-e        ,trenz.biz:te0808_6eg_1e_tebf0808:part0:4.0  ,6eg_1e_4gb   ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,"1 mm connectors"                     ,NA                                                  ,TE0808_SK    ,./misc/PLL/SI5345_B/te_Si5345-Registers.h
29  ,TE0808-04-6GI21-L   ,xczu6eg-ffvc900-2-i        ,trenz.biz:te0808_6eg_2i:part0:3.0           ,6eg_2i_4gb   ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,"1 mm connectors"                     ,NA                                                  ,TE0808_TB    ,NA
30  ,TE0808-04-6GI21-L   ,xczu6eg-ffvc900-2-i        ,trenz.biz:te0808_6eg_2i_tebf0808:part0:4.0  ,6eg_2i_4gb   ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,"1 mm connectors"                     ,NA                                                  ,TE0808_SK    ,./misc/PLL/SI5345_B/te_Si5345-Registers.h
31  ,TE0808-04-6BI21-A   ,xczu6eg-ffvc900-1-i        ,trenz.biz:te0808_6eg_1i:part0:3.0           ,6eg_1i_4gb   ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,NA                                    ,NA                                                  ,TE0808_TB    ,NA
32  ,TE0808-04-6BI21-A   ,xczu6eg-ffvc900-1-i        ,trenz.biz:te0808_6eg_1i_tebf0808:part0:4.0  ,6eg_1i_4gb   ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,NA                                    ,NA                                                  ,TE0808_SK    ,./misc/PLL/SI5345_B/te_Si5345-Registers.h
33  ,TE0808-04-9GI21-A   ,xczu9eg-ffvc900-2-i        ,trenz.biz:te0808_9eg_2i:part0:3.0           ,9eg_2i_4gb   ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,NA                                    ,NA                                                  ,TE0808_TB    ,NA
34  ,TE0808-04-9GI21-A   ,xczu9eg-ffvc900-2-i        ,trenz.biz:te0808_9eg_2i_tebf0808:part0:4.0  ,9eg_2i_4gb   ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,NA                                    ,NA                                                  ,TE0808_SK    ,./misc/PLL/SI5345_B/te_Si5345-Registers.h
35  ,TE0808-04-9BE21-A   ,xczu9eg-ffvc900-1-e        ,trenz.biz:te0808_9eg_1e:part0:3.0           ,9eg_1e_4gb   ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,NA                                    ,NA                                                  ,TE0808_TB    ,NA
36  ,TE0808-04-9BE21-A   ,xczu9eg-ffvc900-1-e        ,trenz.biz:te0808_9eg_1e_tebf0808:part0:4.0  ,9eg_1e_4gb   ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,NA                                    ,NA                                                  ,TE0808_SK    ,./misc/PLL/SI5345_B/te_Si5345-Registers.h
37  ,TE0808-04-6BE21-L   ,xczu6eg-ffvc900-1-e        ,trenz.biz:te0808_6eg_1e:part0:3.0           ,6eg_1e_4gb   ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,"1 mm connectors"                     ,NA                                                  ,TE0808_TB    ,NA
38  ,TE0808-04-6BE21-L   ,xczu6eg-ffvc900-1-e        ,trenz.biz:te0808_6eg_1e_tebf0808:part0:4.0  ,6eg_1e_4gb   ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,"1 mm connectors"                     ,NA                                                  ,TE0808_SK    ,./misc/PLL/SI5345_B/te_Si5345-Registers.h
39  ,TE0808-04-6BE21-A   ,xczu6eg-ffvc900-1-e        ,trenz.biz:te0808_6eg_1e:part0:3.0           ,6eg_1e_4gb   ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,NA                                    ,NA                                                  ,TE0808_TB    ,NA
40  ,TE0808-04-6BE21-A   ,xczu6eg-ffvc900-1-e        ,trenz.biz:te0808_6eg_1e_tebf0808:part0:4.0  ,6eg_1e_4gb   ,qspi-x8-dual_parallel   ,mt25qu512-qspi-x8-dual_parallel   ,REV04       ,4GB      ,128MB      ,NA         ,NA                                    ,NA                                                  ,TE0808_SK    ,./misc/PLL/SI5345_B/te_Si5345-Registers.h
